378;132;94;26;305 
270;301;218;492;104 
468;407;249;34;242 
192;19;82;234;411 
98;146;166;405;296 
173;282;53;292;66 
63;405;439;223;420 
202;274;440;1;447 
66;250;43;143;43 
385;257;70;156;94 
373;168;348;451;343 
232;467;190;230;132 
488;248;426;426;41 
62;468;25;114;39 
419;79;80;288;344 
348;102;22;361;412 
416;212;398;198;193 
396;57;489;381;187 
236;83;209;370;459 
319;324;118;102;481 
417;232;456;116;175 
293;87;60;106;495 
129;444;329;319;216 
276;350;228;232;146 
5;479;144;428;304 
335;371;211;329;24 
24;485;421;380;495 
184;257;281;22;400 
308;497;383;386;58 
292;255;391;153;183 
470;96;386;457;476 
439;87;28;313;341 
423;377;231;81;471 
144;22;449;324;32 
18;69;205;333;338 
8;96;259;369;11 
80;480;57;145;55 
428;99;465;405;56 
96;228;468;182;477 
432;265;301;416;415 
269;306;66;120;164 
400;391;53;118;467 
342;329;160;302;260 
444;319;86;25;42 
45;57;43;268;436 
291;101;23;356;406 
243;295;343;454;242 
275;413;437;482;156 
37;45;347;439;214 
268;68;166;423;33 
113;179;275;373;370 
211;262;298;185;374 
299;367;198;212;223 
47;486;206;59;486 
30;382;104;370;5 
500;211;105;54;168 
222;435;101;322;293 
63;20;471;84;30 
12;115;252;107;357 
170;348;134;215;167 
282;363;107;437;3 
232;75;405;368;370 
0;157;244;16;152 
364;266;376;420;159 
26;15;121;28;473 
415;129;498;13;335 
152;77;390;388;386 
359;328;164;318;61 
489;115;102;215;30 
356;371;236;456;494 
404;472;215;56;140 
267;242;79;465;88 
102;77;392;33;218 
424;267;356;130;293 
36;102;57;358;171 
412;413;406;498;117 
44;394;41;20;431 
180;362;334;248;119 
117;249;199;230;459 
411;223;69;498;107 
88;15;105;162;457 
302;414;357;386;229 
355;336;81;348;44 
209;36;372;102;37 
61;434;108;11;176 
288;404;328;399;260 
188;343;409;391;28 
28;288;380;63;129 
266;5;449;19;265 
281;167;352;185;250 
375;351;468;461;46 
155;407;94;487;168 
399;86;458;125;40 
11;428;190;320;15 
421;156;309;474;271 
55;486;89;246;395 
120;51;142;149;385 
337;376;449;344;373 
121;194;394;395;231 
180;47;323;479;253 
354;478;32;169;329 
219;42;494;189;491 
170;318;348;91;48 
347;444;309;241;203 
135;480;346;447;395 
227;263;414;243;90 
8;162;110;493;41 
143;19;474;320;166 
294;382;259;354;203 
304;346;302;347;384 
237;239;82;275;118 
375;131;86;275;101 
456;129;251;99;483 
7;207;355;49;405 
327;471;489;74;410 
253;220;493;243;90 
382;461;66;359;354 
270;79;336;375;167 
12;434;198;218;210 
164;131;160;371;195 
96;491;253;442;56 
267;250;7;366;365 
154;138;343;184;220 
496;63;393;246;213 
428;372;480;383;393 
394;272;271;364;245 
122;60;122;48;495 
391;208;124;302;86 
20;72;470;10;12 
374;90;13;499;215 
101;239;415;158;267 
224;11;371;49;163 
495;479;144;121;242 
94;16;295;190;329 
287;439;90;159;193 
356;403;469;370;18 
303;259;272;148;143 
384;146;465;281;270 
380;338;75;139;92 
41;429;349;269;419 
358;296;323;169;428 
163;149;255;465;411 
322;42;0;30;360 
235;206;496;478;359 
449;52;14;420;450 
450;364;451;67;152 
428;53;200;452;161 
7;436;103;220;481 
234;391;500;370;449 
338;337;44;280;357 
335;433;371;410;470 
305;281;403;220;479 
299;198;188;313;484 
268;342;48;369;352 
300;103;275;498;124 
57;52;144;472;112 
113;320;171;211;317 
495;183;291;482;357 
226;32;384;242;181 
36;203;187;387;180 
496;288;175;428;57 
231;158;374;285;413 
252;137;432;107;365 
480;26;478;496;489 
85;51;67;12;125 
267;219;32;316;87 
355;366;257;291;116 
325;144;243;154;85 
337;309;5;69;104 
89;101;276;378;202 
10;226;191;399;95 
445;221;162;303;290 
12;125;57;198;57 
386;380;140;492;40 
335;283;323;410;151 
276;46;498;409;35 
165;444;155;113;77 
128;175;359;195;171 
103;483;441;364;73 
211;251;307;11;218 
209;461;284;337;368 
227;403;282;247;320 
399;223;253;267;125 
69;471;445;120;429 
211;21;446;320;437 
352;343;460;336;440 
24;239;487;191;326 
205;159;319;246;350 
226;394;111;376;273 
380;229;173;239;4 
241;307;187;82;6 
188;15;465;400;15 
385;443;446;307;296 
159;237;62;441;420 
410;152;198;271;203 
318;410;70;46;56 
122;170;221;332;199 
217;52;404;184;138 
190;194;419;230;466 
284;449;304;80;114 
143;167;232;319;94 
89;108;416;380;189 
279;445;418;344;393 
215;221;114;108;78 
107;333;378;303;230 
216;233;468;306;420 
370;105;491;433;414 
456;438;403;237;109 
108;136;24;496;359 
245;277;75;338;250 
62;334;196;1;6 
310;289;429;88;379 
356;141;110;461;320 
173;455;486;430;438 
277;319;377;500;470 
471;309;383;444;486 
439;158;130;55;358 
35;410;489;426;103 
166;9;314;358;253 
468;26;64;175;186 
